Scheme,       LINK,        FILE
"All the android phone users as well as Iphone users (IoS) can download Shikhar Ki Aur Himachal mobile application on their smartphones. This app will contain all the latest information about the CM programs, cabinet ministers programs, activities and govt. related services.",https://play.google.com/store/apps/details?id=com.hp.cm.app,https://drive.google.com/file/d/12dEgV2h38C8HOUh8hGY-awbkNSk5wdp6/view?usp=sharing
"Himachal Pradesh CM Jai Ram Thakur has launched HP MyGov Portal at himachal.mygov.in. Now people can make HP My Gov Portal Registration / Login 2020 at the official website. This portal will go a long way in strengthening public participation in governance process. Himachal My Gov Portal is an innovative platform to build partnership b/w citizens and government with usage of technology for growth and development of India.The My Gov Himachal Portal will enable people to communicate with govt. by providing their views, suggestions, feedback and discontentment. HP state govt. will take appropriate measures on constructive criticism and will synergize all contributions for betterment of Himachal Pradesh.
The salient features of Himachal My Gov Portal are discussions, polls, tasks, talks and blogs on several groups based on diverse governance and public policy issues.
",himachal.mygov.in,https://drive.google.com/file/d/1CVLDzEzXRUTNy50uXy8TADUCoaG7knlQ/view?usp=sharing
"HP Medha Protsahan Yojana 2019-2020 Online Application / RegistrationHP Medha Protsahan Yojana 2019-2020 EligibilityHimachal Pradesh Medha Protsahan Yojana 2019-20
Himachal Pradesh government has launched HP Medha Protsahan Yojana 2019-2020 to provide assistance upto Rs. 1 lakh to meritorious students for coaching purpose. Students can fill HP Medha Protsahan Yojana online application form at educationhp.org. Students would be able to prepare for entrance examinations like civil services exams which would further generate employment opportunities. The last date to apply online for Medha Protsahan Yojna is 15 January 2020. 
HP Medha Protsahan Yojana will ensure that the meritorious students does not find any difficulty in preparation of exams and in building their career due to shortage of money. Guidance will be provided to all students through expert faculty at coaching centers located within or outside the state. For the current FY 2019-2020, the state govt. has allocated a budget of Rs. 5 crore.
The state govt. is focused on providing assistance for coaching to poor meritorious students so that each student gets admission in reputed higher educational institutions across the country. This scheme will serve as a boon to all the students belonging to poor and economically weaker sections. ",http://educationhp.org/Files/MEDHA%20PROTSAHAN%20YOJNA.PDF09_05_2019_01_12_59.PDF,https://drive.google.com/file/d/1cw93_R8KyCIR5XlyoEtn196Io3w1uY8x/view?usp=sharing
"Himachal Pradesh government has started a new HP Single Use Plastic Buy Back Scheme 2019. Under this scheme, the state govt. will buyback single-use, non-recyclable plastic waste with a minimum support price of Rs. 75 per kg. This scheme is started by CM Jai Ram Thakur at a function held on 2 October 2019 to mark the 150th birth anniversary of Mahatma Gandhi.
As per initial estimates, the total plastic which is likely to be collected will be about 75,000 kg. The budget required for plastic buy back is around Rs. 2.81 crore. The non-recyclable waste will include polythene bags and govt. will purchase this waste from rag-pickers, households and urban local bodies (ULBs).
Since 2 October 2009, there has been a complete ban on the use of polythene bags in Himachal Pradesh state. The HP single-use plastic buyback scheme got the cabinet approval on 16 September 2019.",https://www.news18.com/news/india/himachal-pradesh-starts-scheme-to-buy-back-single-use-plastic-2331217.html,https://drive.google.com/file/d/1paI7vdodk79KbI82JCSVM_jvkjDd0Bk9/view?usp=sharing
"Himachal Pradesh government has started a new Mukhyamantri Seva Sankalp Helpline Number 1100 for public grievance addressal in the state. On this Chief Minister Seva Sankalp Helpline No, people can easily place call from their mobile phones and tell their problems to CMO. On dialling 1100, the officials will properly respond & provide resolution of the problem. A follow up call would also be made from the call center to people to get their feedback. 
The state govt. of Himachal Pradesh has released a 4 digit toll free (Dial 1100) for CM Seva Sankalp Helpline Number. At one time, this newly launched helpline number would be able to attend specific number calls of people to address their difficulties. Previously, suggestions were invited for better name of Himachal CM Helpline at [email protected]
CM Jairam Thakur has made an official tweet on his official twitter handler and given this information about CM Seva Sankalp toll free number. This helpline number facility (suvidha) is now functional.",https://twitter.com/CMOFFICEHP,https://drive.google.com/file/d/1ooU_lmUmEYbG0RUrYlk2lrgbVAW3LNQn/view?usp=sharing
"Himachal Pradesh Sahara Yojana 2020 Offline ApplicationHP Sahara Yojana 2020 Eligibility CriteriaList of Documents Required to Apply Online for Sahara SchemeHighlights / Launch Details of HP Sahara Yojana
HP Sahara Yojana 2020 offline application has now been started by the Himachal Pradesh government on 11 September 2020. In this scheme, the state govt. will provide Rs. 3,000 per month to people suffering from severe diseases. HP Sahara Yojna will cover specific serious illnesses like paralysis, parkinson, cancer, muscular dystrophy, hemophilia, thalassemia and renal failure. The state govt. will provide financial assistance to patients belonging to economically weaker sections (EWS) category. 
This Sahara Scheme was announced in the Himachal Pradesh Budget 2019-20 to provide assistance to poor patients for medical treatment. Through HP Sahara Yojana, people would be able to meet the hardships faced during prolonged treatment of chronic diseases.
The state govt. of Himachal Pradesh had allocated Rs. 2,482 crore for healthcare scheme in Budget 2019-20 earlier. Now the scheme would continue benefiting people in the FY 2020-21 also.",https://timesofindia.indiatimes.com/city/shimla/himachal-launches-sahara-scheme-for-poor-patients/articleshow/70322269.cms,https://drive.google.com/file/d/1RcS0MD6tpng5IMkaQFAhTguJBTbqD-M5/view?usp=sharing
"Himachal Pradesh government is going to start Mukhyamantri Him Seva Helpline Number in the state very soon. On this Chief Minister Him Seva Helpline No, people can place call from their mobile phones and tell their problems on which govt. officials will tell the proper solution. The state govt. will also place a follow up call to the people to ensure that their problem is addressed properly or not. This call center would be opened at crossing near parking in Shimla. 
The state govt. will release a 4 digit number for Mukhyamantri Him Seva Helpline Number in Himachal Pradesh. At one time, this helpline number would be able to attend 60 calls of people to address their difficulties. Suggestions are invited for better name of Himachal CM Helpline at [email protected] 
CM Jairam Thakur has made an official tweet and given this information about CM Him Seva helpline number. In this tweet, CM also mentioned that this helpline number facility (suvidha) would start in the next few days.",https://twitter.com/jairamthakurbjp,https://drive.google.com/file/d/1WDQYqLU79A_6nywDNlanHBRo9eKY13qs/view?usp=sharing
"Himcare Health Card Registration Online 2020Himcare Health Scheme Enrollment Status (Policy Status)Migrate Old Card to Him Care Card YojnaHimcare Health Card Download – Get My Him Care CardHim Care Card Apply Online for RenewalHimcare Health Card Hospital List 2020Check Himcare Card BalanceHimcare Health Card Yojana References
him care card yojna | himcare health card download | himcare health card hospital list | him care online registration | him care card apply online | himcare health scheme | himcare health card registration | himcare health card online apply
Himachal Pradesh government is inviting online enrollment forms for the Himachal Health Care Scheme (HIMCARE) at hpsbys.in. Now people can make him care online registration to apply online for himcare health scheme. The process for himcare health card registration and online apply has been started at the official website. People can now check the details of him care card yojna, make himcare health card download and check hospital list.
Himcare Health Scheme Registration process has begun at the official website of Himachal Pradesh Swasthya Bima Yojna Society. Under this himcare health scheme, the state govt. provides cashless treatment of Rs. 5 lakh p.a per familt to max. 5 members in a family. All the registered family members under the him care health card yojna will get treatment at pre-defined package rates in all empanelled hospitals. ",https://www.hpsbys.in/content/iuu,https://drive.google.com/file/d/1UISjOq_rZAEr3kPKWeKUZFR6aI8GBytn/view?usp=sharing
"nline Application for Ration Card in Himachal PradeshHP Ration Card Application Form PDF Download (Offline)Track HP Ration Card Application Status
Himachal Pradesh govt. is inviting HP Ration Card online application form at himachalforms.nic.in. People can also download HP Ration Card PDF at food.hp.nic.in. All those people whose name does not appears in the HP Ration Card List 2019 can now apply through online or offline mode. Moreover, people can also track HP Ration Card online application status at edistrict.hp.gov.in.
All the candidates can apply online for ration card in HP by filling Consumer Card fillable pdf. In addition to this, people can perform HP Ration Card Form PDF download and submit it to the concerned authorities to get their name included in the HP Ration Card Data and thus in the new Ration Card List.
Rashan Card is an essential document issued by ePDS department in Himachal Pradesh to avail benefits of most of the state sponsored government schemes. Also, people can get rashan at subsidized rates through these ration cards from fair price shops located nearby. ",food.hp.nic.in,https://drive.google.com/file/d/1vuHMawVcfTVAayu1RIU9riEatu3ABsvi/view?usp=sharing
"CEO Voter List 2020 Himachal Pradesh (PDF Electoral Rolls) DownloadHP Voter ID Card Download – Find Name Online in HP Elector Voter List 2020Find Name in Voter List Himachal Pradesh by Name & Voter ID Card No.HP Election Voter List Name Search Online
CEO Himachal Voter List | Electoral Voter List | Voter List 2020 HP | Voter ID Search by Village | Polling Booth List in Himachal Pradesh | HP Election Voter List 2020 | Voter List 2020 Himachal Pradesh | Himachal Pradesh Voter ID Card List | HP Voter ID Card Download
Election Commission of India (ECI) had announced Lok Sabha (general) election dates in the country. In the Himachal Pradesh state, voting for 4 Lok Sabha seats was held on 19th May 2019 (7th Phase). Chief Electoral Officer has published Final Himachal Pradesh CEO Voter List 2020. Here people can perform name search in the New HP PDF Electoral Rolls and download Voter ID Card at https://himachal.nic.in/index.php?lang=1&dpt_id=6
All the citizens can check their name in the district wise CEO Himachal Pradesh Voter List 2020 with Photo and download HP Voter ID Card. The updated HP Electoral Voter List with Photo are available in the PDF format where people can find their name in the CEO HP Voters List 2020 Village wise and can Download HP Voter ID Card before casting their vote.",https://himachal.nic.in/index.php?lang=1&dpt_id=6,https://drive.google.com/file/d/1tFu6445HGi_jI_FAc7YRIG_2Iyp1QhUL/view?usp=sharing
