selection1_name,Link
(Registration) AP YSR Scheme for Auto & Taxi Cab Drivers Apply…,https://imp.center/gov/ap-ysr-scheme-auto-taxi-cab-drivers-2/
[15-29 July 2019] CG New / Renewal Ration Card Apply Form (CG Rashan…,https://imp.center/gov/cg-new-renewal-ration-card-apply-form/
[8159 Vacancy] WB Govt. Staff Nurse Recruitment Apply Online Form @…,https://imp.center/gov/wbhrb-staff-nurse-recruitment-apply-online-form-8159-vacancy/
[Apply Online] AP YSR Vahana Mitra Scheme Registration Form /…,https://imp.center/gov/ap-ysr-vahana-mitra-scheme-apply-online-form/
[Apply Online] UP CM Kanya Sumangala Yojana Registration / Application…,https://imp.center/gov/up-cm-kanya-sumangala-yojana-apply-online/
[Apply] Haryana Pashu Kisan Credit Card Scheme Application /…,https://imp.center/gov/haryana-pashu-kisan-credit-card-scheme-application-registration/
[My Aadhar] New Version mAadhaar App Download Apk (IOS / Android),https://imp.center/gov/new-maadhaar-app-download-my-aadhar/
"[Rs. 2,000] AP Mukhyamantri Yuvanestham – Unemployment Allowance…",https://imp.center/gov/rs-2000-ap-mukhyamantri-yuvanestham-unemployment-allowance-doubled/
[Sametham KITE] Kerala School Database Portal – Schools /…,https://imp.center/gov/sametham-kite-kerala-school-database-portal-schools-students-staff-data/
[Survey] DDA Database for Homeless People – Apply Online for New…,https://imp.center/gov/survey-dda-database-homeless-people-apply-online-pmay/
1 Crore Prepaid Electricity Meters by UPPCL in Uttar Pradesh –…,https://imp.center/gov/1-crore-prepaid-electricity-meters-uppcl-uttar-pradesh-saubhagya/
1 Lakh Ayushman Mitra Jobs in PMRSSM Empaneled Hospitals – Rs.…,https://imp.center/gov/1-lakh-ayushman-mitra-jobs-pmrssm-empaneled-hospitals-rs-15000-salary/
1 Lakh Interest Free Loans to Women for Refurnishing Flood Hit Houses…,https://imp.center/gov/interest-free-loans-women-refurnishing-flood-hit-houses-kerala/
1 Lakh Mudra Yojana Bank Loan For Women Entrepreneurs in Union Budget…,https://imp.center/gov/1-lakh-mudra-yojana-bank-loan-women-budget/
1 Lakh Residential Plots to Homeless Dalit Families in Punjab –…,https://imp.center/gov/1-lakh-residential-plots-homeless-dalit-families-punjab/
1 Lakh Solar Powered Agricultural Water Pumps to Farmers in…,https://imp.center/gov/1-lakh-solar-agricultural-water-pumps-farmers-maharashtra/
1 Nation 1 Ration Card Scheme – Inter State Portability in 4…,https://imp.center/gov/1-nation-1-ration-card-scheme-inter-state-portability/
1.12 Lakh More Houses Sanctioned under Pradhan Mantri Awas Yojana…,https://imp.center/gov/1-12-lakh-more-houses-pradhan-mantri-awas-yojana-pmay-urban/
1.27 Affordable Houses in Jharkhand for Slum People – Pradhan…,https://imp.center/gov/1-27-lakh-affordable-houses-jharkhand-pradhan-mantri-awas-yojana-slum-people/
112 India Mobile App Download | Emergency Helpline Number (ERSS with…,https://imp.center/gov/112-india-mobile-app-download-emergency-helpline-number/
12 Lakh Non-gazetted Railway Employees to Get Productivity Linked…,https://imp.center/gov/12-lakh-non-gazetted-railway-employees-productivity-linked-bonus/
"20% Cashback on GST Payment through Rupay, BHIM App, USSD (Digital…",https://imp.center/gov/20-cashback-gst-payment-rupay-bhim-app-ussd-digital-means/
5 Kg LPG Gas Cylinder Refill to Boost PM Ujjwala Yojana (Modi 2.0),https://imp.center/gov/5-kg-lpg-gas-cylinder-refill-pm-ujjwala-yojana/
5 Lakh New Madhu Babu Pension Yojana Beneficiaries to be Included…,https://imp.center/gov/5-lakh-new-madhu-babu-pension-yojana-beneficiaries-odisha/
"5,45,090 Affordable Houses Sanctioned under Pradhan Mantri Awas Yojana…",https://imp.center/gov/545090-affordable-houses-pradhan-mantri-awas-yojana-urban/
6% Interest Subsidy Scheme on Loans upto 4 Crore for Small Pharma…,https://imp.center/gov/6-interest-subsidy-scheme-loans-small-medium-pharma-companies/
7 Star Village Scheme in Haryana to Improve Works of Gram Panchayat,https://imp.center/gov/7-star-village-scheme-haryana-improve-works-gram-panchayat/
7.75% Savings Bond Scheme 2018 – Taxable Bonds to be Launched by…,https://imp.center/gov/7-75-savings-bond-scheme-2018-taxable-bonds-central-govt/
750 ml Amma Water Bottles Made of Glass by Tamil Nadu Government,https://imp.center/gov/amma-water-bottles-tamil-nadu/
"80,000 Houses in Noida Under Pradhan Mantri Awas Yojana (PMAY) to…",https://imp.center/gov/80000-houses-noida-pradhan-mantri-awas-yojana-pmay/
Aadhaar Linked Sale of Fertilizers in Maharashtra – Direct…,https://imp.center/gov/aadhaar-linked-sale-fertilizers-maharashtra-dbt-scheme/
Aadhaar Linking Deadline for Welfare Schemes & Pan Card Extended…,https://imp.center/gov/aadhaar-linking-deadline-welfare-schemes-pan-card-30-june/
Aadhaar Mandatory for 2nd Time Treatment – Ayushman Bharat…,https://imp.center/gov/aadhaar-mandatory-2nd-time-treatment-ayushman-bharat-yojana-pmjay/
Aadhar Card Face Authentication to be Launched By UIDAI from 1 July…,https://imp.center/gov/aadhar-card-face-authentication-uidai-1-july-2018/
Aadhar Card Final Verdict By Supreme Court – Now Aadhaar…,https://imp.center/gov/aadhar-card-final-verdict-supreme-court-aadhaar-constitutionally-valid/
Aajeevika Grameen Express Yojana (AGEY) in Punjab – Interest…,https://imp.center/gov/aajeevika-grameen-express-yojana-punjab-interest-free-loans-shgs-vehicles/
